proc_id,proc_name,proc_category
VDB0104,Radical cystectomy,Major resection
VDB0105,Resection of popliteal artery,Vascular
VDB0106,Total colectomy,Colorectal
VDB0107,subtotal colectomy,Colorectal
VDB0108,Diagnostic laparoscopy,Minor resection
VDB0109,Hepatic hilar resection,Biliary/Pancreas
VDB0110,Debulking surgery,Others
VDB0111,Simultaneous pancreas-kidney transplantation,Transplantation
VDB0112,Inguinal lymph node dissection,Colorectal
VDB0113,Enucleation of pancreas,Biliary/Pancreas
VDB0114,Ivor Lewis operation,Others
VDB0115,Sleeve lobectomy,Major resection
VDB0116,Hepatic hilar resection,Hepatic
VDB0117,Vascular repair,Vascular
VDB0118,Debulking surgery,Major resection
VDB0119,Fistulectomy,Stomach
VDB0120,Transanal endoscopic microsurgery,Colorectal
VDB0121,McDonald operation,Others
VDB0122,Oophorectomy,Minor resection
VDB0123,Staging laparotomy,Minor resection
VDB0124,Pelvic tumorectomy,Major resection
VDB0125,Exploration of wound,Others
VDB0126,Lung segmentectomy,Minor resection
VDB0127,Radical excision of cervical lymph nodes,Others
VDB0128,Salpingectomy,Minor resection
VDB0129,Transverse loop colostomy,Colorectal
VDB0130,Decortication,Others
VDB0131,Biopsy,Others
VDB0132,Exploration,Others
VDB0133,Gastric bypass,Stomach
VDB0134,Peritoneal mass excision,Others
VDB0135,Plication,Others
VDB0136,Liver bisegmentectomy,Hepatic
VDB0137,Subtotal colectomy,Colorectal
VDB0138,Resection of rib,Others
VDB0139,Exploratory thoracotomy,Others
VDB0140,Transplantation of gracilis muscle,Colorectal
VDB0141,Thyroid isthmectomy,Thyroid
VDB0142,Mastectomy,Breast
VDB0143,Total pancreatectomy,Biliary/Pancreas
VDB0144,Gastrojejunostomy,Stomach
VDB0145,Paraaortic lymph node dissection,Others
VDB0146,Ileostomy,Colorectal
VDB0147,Embolectomy,Vascular
VDB0148,Ileocolectomy,Colorectal
VDB0149,Subtotal pancreatectomy,Biliary/Pancreas
VDB0150,Removal of complicated graft,Vascular
VDB0151,Cecectomy,Colorectal
VDB0152,Pleurodesis,Others
VDB0153,Lung wedge resection,Others
VDB0154,Radical prostatectomy,Stomach
VDB0155,Nephrectomy,Vascular
VDB0156,Reposition of continuous ambulatory peritoneal dialysis catheter,Stomach
VDB0157,Radical mastectomy,Breast
VDB0158,Radical cholecystectomy,Biliary/Pancreas
VDB0159,Percutaneous biopsy,Vascular
VDB0160,Incision and drainage,Colorectal
VDB0161,Staging operation,Minor resection
VDB0162,Total hysterectomy,Major resection
VDB0163,Segmental resection of colon,Colorectal
VDB0164,Marsupialization,Hepatic
VDB0165,Sternal fixation,Others
VDB0166,Excision,Minor resection
VDB0167,Closure of arteriovenous fistula,Vascular
VDB0168,Mediastinal lymph node dissection,Others
VDB0169,Insertion of continuous ambulatory peritoneal dialysis catheter,Stomach
VDB0170,Hernia repair,Others
VDB0171,Pancreatosplenectomy,Biliary/Pancreas
VDB0172,Colostomy repair,Colorectal
VDB0173,Total hysterectomy,Major resection
VDB0174,Vascular bypass,Vascular
VDB0175,Arteriovenous fistula thrombectomy,Vascular
VDB0176,Exploration of common bile duct,Biliary/Pancreas
VDB0177,Resection of sternum,Others
VDB0178,Lung wedge resection,Stomach
VDB0179,Removal of permanent catheter,Vascular
VDB0180,Wound revision,Others
VDB0181,Clagett procedure,Others
VDB0182,Nephroureterectomy,Major resection
VDB0183,Removal of Hickman catheter,Vascular
VDB0184,Total esophagectomy,Others
VDB0185,Elosser operation,Others
VDB0186,Radical parametrectomy,Major resection
VDB0187,Revision of small intestine anastomosis,Stomach
VDB0188,Hepaticojejunostomy,Biliary/Pancreas
VDB0189,Colostomy,Others
VDB0190,Empyemectomy,Minor resection
VDB0191,Completion mastectomy,Breast
VDB0192,Breast reconstruction,Breast
VDB0193,Median pancreatectomy,Biliary/Pancreas
VDB0194,Inguinal hernia,Colorectal
VDB0195,Sphincteroplasty,Colorectal
VDB0196,Axillary lymph node dissection,Breast
VDB0197,Biopsy,Colorectal
VDB0198,Selective neck dissection,Others
VDB0199,Radical excision of iliac lymph nodes,Colorectal
VDB0200,Revision of arteriovenous fistula,Vascular
VDB0201,Fundoplication,Others
VDB0202,Resection of inferior vena cava,Vascular
VDB0203,Cleaning of wound,Others
VDB0204,Diagnostic pelviscopy,Minor resection
VDB0205,Electrocauterization,Others
VDB0206,Hernia repair,Stomach
VDB0207,Modified Shirodkar operation,Others
VDB0208,Anal fistulotomy,Colorectal
VDB0209,Diverticulectomy,Others
VDB0210,Adrenalectomy,Major resection
VDB0211,Modified radical hysterectomy,Major resection
VDB0212,Excision,Stomach
VDB0213,Ovarian cancer staging operation,Major resection
VDB0214,Pericardial window operation,Others
VDB0215,Liver tumorectomy,Hepatic
VDB0216,Salpingo-oophorectomy,Colorectal
VDB0217,Choledochoscopic bile duct stone removal,Biliary/Pancreas
VDB0218,Removal of staples,Others
VDB0219,Internal mammary lymph node dissection,Others
VDB0220,Pleurectomy,Others
VDB0221,Regional lymph node dissection,Others
VDB0222,Extended total gastrectomy,Stomach
VDB0223,Ileostomy,Others
VDB0224,Transurethral resection of bladder tumor,Others
VDB0225,Incision of rectal stricture,Colorectal
VDB0226,Oophorectomy,Colorectal
VDB0227,Macroplastique injection,Minor resection
VDB0228,Transduodenal ampullectomy,Biliary/Pancreas
VDB0229,Sentinel lymph node mapping,Others
VDB0230,Intra-abdominal arterial bypass graft,Vascular
