"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Abnormal finding on lung imaging","Biopsy","Minor resection","Videoscopic","Left lateral decubitus","1","BiopsyBrain","56.7","Minor","Neuro / Spine","Laparoscopic","Access / Drainage Procedures","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Hyperhidrosis, palmar","Thoracic sympathectomy","Others","Videoscopic","Supine","1","Others","74.6","Major","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Gallbladder stone with chronic cholecystitis without obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","1","Biliary/Pancreas","50.2","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Abnormal electrocardiogram","Incisional hernia repair","Colorectal","Open","Supine","1","Colorectal","72.5","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Colostomy status","Hartmann procedure","Colorectal","Open","Supine","1","Colorectal","74.7","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Septic arthritis, knee","Delorme's operation","Colorectal","Open","Prone","1","Colorectal","72.1","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Small intestinal cancer","Exploratory laparotomy","Others","Open","Lithotomy","1","Others","72.9","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Primary hyperoxaluria","Exploratory laparotomy","Others","Open","Supine","1","Others","74.0","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Leiomyomatosis","Excision","Others","Videoscopic","Lithotomy","1","Others","66.1","Minor","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Lymphadenopathy","Axillary lymph node dissection","Breast","Open","Supine","1","Breast","81.9","Major","ENT / Head & Neck","Open","Breast Surgery","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Advanced gastric cancer","Gastrojejunostomy","Stomach","Videoscopic","Supine","1","Stomach","69.6","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Colon cancer","Transverse colectomy","Colorectal","Open","Lithotomy","1","Colorectal","79.5","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Colon cancer, splenic flexure","Extended hemicolectomy","Colorectal","Videoscopic","Lithotomy","1","Colorectal","70.4","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Metastatic cancer to the lung unspecified side","Metastasectomy","Minor resection","Open","Left lateral decubitus","1","Minor resection","59.9","Major","Thoracic","Open","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Tubular adenoma, duodenum","Excision","Stomach","Open","Supine","1","CraniTumorSkullBase","66.9","Minor","Neuro / Spine","Open","Craniotomy","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Myoma uteri","Hysterectomy","Major resection","Robotic","Lithotomy","1","Major resection","74.0","Major","Abdominal / GI","Robotic","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Colon cancer, descending","Anterior resection","Colorectal","Open","Supine","1","Colorectal","60.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Carcinoid tumor, unspecified site","Low anterior resection","Colorectal","Open","Lithotomy","1","Colorectal","68.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Mucinous carcinoma of breast right","Simple mastectomy","Breast","Open","Supine","1","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Early gastric cancer, adenocarcinoma","Partial gastrectomy","Stomach","Open","Supine","1","Stomach","66.0","Major","Abdominal / GI","Open","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Esophageal cancer","Exploration of wound","Others","Open","Right lateral decubitus","1","Others","75.4","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Tubular adenoma, colon","Hemicolectomy","Colorectal","Open","Lithotomy","1","Colorectal","67.3","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:2-4hr"
